Series_Name	Number_of_episodes	Number_of_seasons	Genre	Year_released	End_year	Avg_runtime	Rating	Number_of_raters	Number_of_reviews	Number_of_critics_review
Cobra Kai	31	4	Action	2018	NA	30	8.7	74815	1384	46
Adventure Time	289	10	Animation	2010	2018	11	8.6	74426	185	46
The Marvelous Mrs. Maisel	27	4	Comedy	2017	NA	57	8.7	74291	590	54
Pride and Prejudice	6	1	Drama	1995	NA	55	8.8	74208	431	18
Louie	61	5	Comedy	2010	2015	22	8.5	73794	70	52
Sacred Games	16	2	Action	2018	NA	50	8.7	70902	776	26
The Shield	89	7	Crime	2002	2008	47	8.7	70646	417	65
The Last Dance	10	1	Documentary	2020	NA	49	9.2	69530	419	25
The Twilight Zone	156	5	Drama	1959	1964	51	9	69314	174	76
Gravity Falls	40	2	Animation	2012	2016	23	8.9	69111	220	8
Battlestar Galactica	2	1	Action	2003	NA	92	8.6	67749	450	36
Dragon Ball Z: Doragon b?u zetto	291	1	Animation	1989	1996	24	8.7	66373	57	16
Monty Python's Flying Circus	45	4	Comedy	1969	1974	30	8.8	66127	82	23
One Piece	947	NA	Animation	1999	NA	24	8.7	63133	172	28
The West Wing	155	7	Drama	1999	2006	44	8.8	61709	261	14
The Grand Tour	40	5	Comedy	2016	NA	60	8.7	61650	335	5
Fullmetal Alchemist	51	1	Animation	2003	2004	24	8.5	60498	101	18
Bron/Broen	38	4	Crime	2011	2018	60	8.6	56471	154	52
Friday Night Lights	76	5	Drama	2006	2011	44	8.6	55226	307	49
Flight of the Conchords	22	2	Comedy	2007	2009	28	8.5	54352	41	34
Twin Peaks	18	1	Crime	2017	NA	60	8.5	54286	425	132
Black Books	18	3	Comedy	2000	2004	25	8.5	53362	85	7
Chappelle's Show	33	3	Comedy	2003	2006	22	8.8	52361	94	14
Dragon Ball	153	9	Animation	1995	2003	24	8.5	52112	41	4
Peep Show	54	9	Comedy	2003	2015	25	8.6	51768	83	8
TVF Pitchers	5	1	Comedy	2015	NA	40	9.1	50683	174	1
Spaced	14	2	Action	1999	2001	25	8.6	49719	93	26
Hunter x Hunter	148	1	Animation	2011	2014	24	8.9	49576	156	15
Atlanta	39	4	Comedy	2016	NA	30	8.6	49496	97	27
Shin Seiki Evangelion	26	1	Animation	1995	1996	24	8.5	47978	224	24
Code Geass	54	2	Animation	2006	2012	24	8.6	47719	125	9
Blackadder Goes Forth	6	1	Comedy	1989	NA	29	8.8	47618	75	10
Generation Kill	7	1	Drama	2008	NA	70	8.5	47054	95	40
Dragon Ball	153	1	Animation	1986	1989	24	8.5	46415	34	5
Only Fools and Horses....	64	9	Comedy	1981	2003	97	8.9	45253	133	2
Samurai Jack	62	5	Animation	2001	2017	25	8.5	44587	103	9
The Knick	20	2	Drama	2014	2015	58	8.5	42912	74	41
Coupling	28	4	Comedy	2000	2004	30	8.5	42402	140	17
Blackadder II	6	1	Comedy	1986	NA	29	8.6	42401	51	9
Steins;Gate	26	1	Animation	2011	2015	24	8.8	41503	153	10
Dr. Horrible's Sing-Along Blog	3	1	Short	2008	NA	42	8.5	41375	73	32
Blackadder the Third	6	1	Comedy	1987	NA	30	8.6	40390	49	9
Justice League	52	2	Animation	2001	2004	22	8.5	40257	73	35
Whose Line Is It Anyway?	220	8	Comedy	1998	2007	30	8.5	39565	119	10
Samurai Champloo	26	1	Animation	2004	2005	24	8.5	39412	77	11
The Jinx: The Life and Deaths of Robert Durst	6	1	Documentary	2015	NA	47	8.7	38222	43	10
Over the Garden Wall	10	1	Animation	2014	NA	11	8.8	38163	117	11
Succession	21	3	Drama	2018	NA	60	8.6	37590	468	29
Life	11	1	Documentary	2009	NA	43	9.1	37399	11	10
Poirot	70	13	Crime	1989	2013	100	8.6	37103	81	35
Father Ted	25	3	Comedy	1995	1998	25	8.6	35881	106	10
Cosmos	13	1	Documentary	1980	NA	60	9.3	35766	57	7
The Blue Planet	10	1	Documentary	2001	NA	39	9	33849	22	7
Anne with an E	27	3	Drama	2017	2019	60	8.7	33046	850	27
Impractical Jokers	234	8	Comedy	2011	NA	30	8.6	32565	127	10
What We Do in the Shadows	21	3	Comedy	2019	NA	30	8.5	31986	299	33
